team,opponent,head2head_win_rate,head2head_avg_goal_diff
South Africa,Uruguay,0.0,-3.0
Uruguay,South Africa,1.0,3.0
South Africa,Argentina,,
South Africa,England,,
South Africa,South Korea,,
South Africa,Algeria,,
South Africa,Germany,,
South Africa,Serbia,,
South Africa,Netherlands,,
South Africa,Italy,,
South Africa,Japan,,
South Africa,Brazil,,
South Africa,Ivory Coast,,
South Africa,New Zealand,,
South Africa,Spain,,
South Africa,Honduras,,
South Africa,Greece,,
South Africa,France,1.0,1.0
France,South Africa,0.0,-1.0
South Africa,Slovenia,,
South Africa,Cameroon,,
South Africa,Ghana,0.5,0.0
Ghana,South Africa,0.5,-0.0
South Africa,Slovakia,,
South Africa,Chile,,
South Africa,Portugal,,
South Africa,Mexico,0.0,0.0
Mexico,South Africa,1.0,-0.0
South Africa,Nigeria,0.0,0.0
Nigeria,South Africa,1.0,-0.0
South Africa,United States,,
South Africa,Australia,,
South Africa,Denmark,,
South Africa,Paraguay,,
South Africa,Switzerland,,
South Africa,North Korea,,
South Africa,Estonia,,
South Africa,Israel,,
South Africa,Lithuania,,
South Africa,Luxembourg,,
South Africa,Montenegro,,
South Africa,Sweden,,
South Africa,San Marino,,
South Africa,Romania,,
South Africa,Liechtenstein,,
South Africa,Moldova,,
South Africa,Kazakhstan,,
South Africa,Armenia,,
South Africa,Belgium,,
South Africa,Andorra,,
South Africa,Latvia,,
South Africa,Iceland,,
South Africa,Faroe Islands,,
South Africa,North Macedonia,,
South Africa,Turkey,,
South Africa,Scotland,,
South Africa,Russia,,
South Africa,Norway,,
South Africa,Malta,,
South Africa,Hungary,,
South Africa,Albania,,
South Africa,Georgia,,
South Africa,Czech Republic,,
South Africa,Croatia,,
South Africa,Bulgaria,,
South Africa,Bosnia and Herzegovina,,
South Africa,Belarus,,
South Africa,Austria,,
South Africa,Republic of Ireland,,
South Africa,Wales,,
South Africa,Northern Ireland,,
South Africa,Cyprus,,
South Africa,Finland,,
South Africa,Azerbaijan,,
South Africa,Montserrat,,
South Africa,Vietnam,,
South Africa,Nepal,,
South Africa,Mongolia,,
South Africa,Sri Lanka,,
South Africa,Cambodia,,
South Africa,Bangladesh,,
South Africa,Afghanistan,,
South Africa,Malaysia,,
South Africa,Colombia,,
South Africa,Turks and Caicos Islands,,
South Africa,Taiwan,,
South Africa,United States Virgin Islands,,
South Africa,Philippines,,
South Africa,Palestine,,
South Africa,Laos,,
South Africa,Macau,,
South Africa,Myanmar,,
South Africa,Pakistan,,
South Africa,Bolivia,,
South Africa,Aruba,,
South Africa,Dominican Republic,,
South Africa,Peru,,
South Africa,Bahamas,,
South Africa,Venezuela,,
South Africa,British Virgin Islands,,
South Africa,Saint Lucia,,
South Africa,Belize,,
South Africa,United Arab Emirates,,
South Africa,Turkmenistan,,
South Africa,Thailand,,
South Africa,Syria,,
South Africa,Singapore,,
South Africa,Saudi Arabia,,
South Africa,Qatar,,
South Africa,Uzbekistan,,
South Africa,Oman,,
South Africa,Lebanon,,
South Africa,Kuwait,,
South Africa,Jordan,,
South Africa,Iraq,,
South Africa,Iran,,
South Africa,China PR,,
South Africa,Yemen,,
South Africa,Tajikistan,,
South Africa,Maldives,,
South Africa,Kyrgyzstan,,
South Africa,Indonesia,,
South Africa,India,,
South Africa,Hong Kong,,
South Africa,Suriname,,
South Africa,Saint Kitts and Nevis,,
South Africa,Trinidad and Tobago,,
South Africa,Guatemala,,
South Africa,Antigua and Barbuda,,
South Africa,Bahrain,,
South Africa,Canada,,
South Africa,El Salvador,,
South Africa,Grenada,,
South Africa,Guyana,,
South Africa,Haiti,,
South Africa,Dominica,,
South Africa,Nicaragua,,
South Africa,Puerto Rico,,
South Africa,Barbados,,
South Africa,Cayman Islands,,
South Africa,Curaçao,,
South Africa,Saint Vincent and the Grenadines,,
South Africa,Bermuda,,
South Africa,Ecuador,,
South Africa,Panama,,
South Africa,São Tomé and Príncipe,,
South Africa,Seychelles,,
South Africa,Eswatini,,
South Africa,Lesotho,,
South Africa,Chad,,
South Africa,Comoros,,
South Africa,Djibouti,,
South Africa,Equatorial Guinea,,
South Africa,Eritrea,,
South Africa,Guinea-Bissau,,
South Africa,Somalia,,
South Africa,Madagascar,,
South Africa,Mozambique,,
South Africa,Namibia,,
South Africa,Rwanda,0.0,-2.0
Rwanda,South Africa,1.0,2.0
South Africa,Tanzania,,
South Africa,Togo,,
South Africa,Burundi,,
South Africa,Congo,,
South Africa,DR Congo,,
South Africa,Kenya,,
South Africa,Ethiopia,0.5,0.5
Ethiopia,South Africa,0.5,-0.5
South Africa,Samoa,,
South Africa,American Samoa,,
South Africa,Tonga,,
South Africa,Egypt,,
South Africa,Tunisia,,
South Africa,Sierra Leone,,
South Africa,Senegal,0.0,-1.5
Senegal,South Africa,1.0,1.5
South Africa,Gambia,,
South Africa,Central African Republic,1.0,2.5
Central African Republic,South Africa,0.0,-2.5
South Africa,Sudan,,
South Africa,Burkina Faso,0.5,1.0
Burkina Faso,South Africa,0.5,-1.0
South Africa,Zimbabwe,0.6666666666666666,1.0
